canonical_class_id,canonical_class,source_dataset,source_label,source_label_id,mapping_status,mapping_type,exact_match,semantic_match,candidate_count,independent_identity_count,metadata_status,resource_status,provenance_status,pretraining_exposure_traceability,primary_candidate,supplement_candidate,manual_review_required,evidence_path_or_url,evidence_sha_or_version,notes
0,coughing,ESC-50,coughing,24,EXACT,EXACT,true,false,40,39,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,true,false,false,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,official category exact; src_file used as original identity
0,coughing,DESED isolated foreground,,,NONE,NONE,false,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,no approved DESED label for this canonical class; isolated resource status is independent
0,coughing,PSELD-selected FSD50K,Cough,/m/01b_21,SEMANTIC_STRONG,SEMANTIC_STRONG,false,true,248,248,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,true,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
1,laughing,ESC-50,laughing,26,EXACT,EXACT,true,false,40,36,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,true,false,false,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,official category exact; src_file used as original identity
1,laughing,DESED isolated foreground,,,NONE,NONE,false,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,no approved DESED label for this canonical class; isolated resource status is independent
1,laughing,PSELD-selected FSD50K,Laughter,/m/01j3sz,SEMANTIC_STRONG,SEMANTIC_STRONG,false,true,680,680,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,true,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
2,keyboard_typing,ESC-50,keyboard_typing,32,EXACT,EXACT,true,false,40,37,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,true,false,false,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,official category exact; src_file used as original identity
2,keyboard_typing,DESED isolated foreground,,,NONE,NONE,false,false,,,PRESENT_METADATA_ONLY,MISSING,LABEL_ONLY_NO_REGISTRY,NOT_APPLICABLE,false,false,true,https://raw.githubusercontent.com/turpaultn/DESED/master/examples/generate_soundscapes/event_occurences/event_occurences_train.json,45b3ce7a132987cfb247b933a70627d11c3232dc746546d81e4dc4b9352a6bd3,no approved DESED label for this canonical class; isolated resource status is independent
2,keyboard_typing,PSELD-selected FSD50K,Computer keyboard|Typing,/m/01m2v|/m/0316dw,SEMANTIC_STRONG,SEMANTIC_STRONG,false,true,268,268,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_170_CLASS_TO_MID_TO_FSD_CLIP,PARTIAL,false,true,true,https://github.com/Jinbo-Hu/PSELDNets,PSELDNets main 8092a14866963e4dc38ee389aa146f0a2edef1bb,official PSELDNets 170-class label to MID and SELD-Data-Generator source TSV; source TSV first column counted as FSD50K clip ID; unique IDs used for independent identity
3,vacuum_cleaner,ESC-50,vacuum_cleaner,36,EXACT,EXACT,true,false,40,30,PRESENT,PRESENT_METADATA_ONLY,TRACEABLE_METADATA,NOT_APPLICABLE,true,false,false,https://raw.githubusercontent.com/karolpiczak/ESC-50/master/meta/esc50.csv,ca660da60191a97de289983a05821c9382d852a38a2ba8428980816b68cf6246,official category exact; src_file used as original identity
